attempt_id,group_id,target.bucket,target.region,tool.name,tool.version,tool.mode,tool.concurrency,machine.type,machine.vcpus,state.provider,outcome.row_count,outcome.wall_seconds,outcome.max_rss_kb,derived.wall_keys_per_second
swath.52ab9213be7b.s1,s032-s3-elevation--1-a,elevation-tiles-prod,us-east-1,swath,0.3.2,recursive-tsv-zstd,2048,n4-highcpu-64,64,SUCCEEDED,10293380300,1124.72592,11857000,9151901.025
swath.644f4a4a175b.s1,swath-s3-elevation-tsv-cpu64-20260902,elevation-tiles-prod,us-east-1,swath,0.3.1,recursive-tsv-zstd,2048,n4-highcpu-64,64,SUCCEEDED,10293380300,4907.601671,14305204,2097435.976
swath.36e6d2ba0067.s1,s032-s3-fah-public-2-a,fah-public-data-covid19-absolute-free-energy,us-east-2,swath,0.3.2,recursive-parquet-sorted,2048,n4-highcpu-32,32,SUCCEEDED,522925693,253.401619,12870704,2063624.12
swath.4b2db6e9f6a9.s1,swath-s3-fah-sort-cpu32-20260901,fah-public-data-covid19-absolute-free-energy,us-east-2,swath,0.3.1,recursive-parquet-sorted,2048,n4-highcpu-32,32,SUCCEEDED,522925693,281.920943,12362232,1854866.43
swath.82e29cbdb8e3.s1,s032-s3-fah-public-1-a,fah-public-data-covid19-absolute-free-energy,us-east-2,swath,0.3.2,recursive-parquet-sorted,1024,n4-highcpu-16,16,SUCCEEDED,522925693,381.907729,6799360,1369246.164
swath.a0f1b2c053d8.s1,swath-s3-fah-tsv-c2048-20260901,fah-public-data-covid19-absolute-free-energy,us-east-2,swath,0.3.1,recursive-tsv-zstd,2048,n4-highcpu-32,32,SUCCEEDED,522925693,187.305906,8585240,2791827.039
swath.a66fe19b1e13.s1,s032-s3-fah-public-3-a,fah-public-data-covid19-absolute-free-energy,us-east-2,swath,0.3.2,recursive-tsv-zstd,2048,n4-highcpu-32,32,SUCCEEDED,522925693,153.540155,8637804,3405791.097
swath.d7668a13dc4c.s1,swath-s3-fah-sort-use1-20260901,fah-public-data-covid19-absolute-free-energy,us-east-2,swath,0.3.0,recursive-parquet-sorted,1024,n4-highcpu-16,16,SUCCEEDED,522925693,370.742025,7754624,1410483.996
swath.12d7ebe2ad2d.s1,swath-s3-itslive-tsv-cpu64-20260902,its-live-data,us-west-2,swath,0.3.1,recursive-tsv-zstd,2048,n4-highcpu-64,64,SUCCEEDED,1917502738,636.317146,15054072,3013438.739
swath.693fc5f2ffbf.s1,s032-s3-its-live-d-1-a,its-live-data,us-west-2,swath,0.3.2,recursive-tsv-zstd,2048,n4-highcpu-64,64,SUCCEEDED,1917546508,372.644329,12953496,5145782.074
swath.0b5db9b35947.s1,swath-s3-janelia-sort-use1-20260901,janelia-cosem-datasets,us-east-1,swath,0.3.0,recursive-parquet-sorted,1024,n4-highcpu-16,16,SUCCEEDED,959831933,724.16251,9701684,1325437.205
swath.0d01af45ef74.s1,swath-s3-janelia-sort-cpu32-20260901,janelia-cosem-datasets,us-east-1,swath,0.3.1,recursive-parquet-sorted,2048,n4-highcpu-32,32,SUCCEEDED,959831933,585.130763,13703164,1640371.68
